prototype_index,closest_text
171,"""f 5'2
sw: 173.3lb oct 3, 
cw: 166.8lb oct 7 
gw: 150-145lb
i decided to take phentermine 37.5. after doing research i scheduled an appointment at a local weight loss clinic. after being evaluated i was given the okay to take it with a 1200 cal low carb daily meal plan. i was instructed to take half the pill for 4-7 days then 1 tab daily in the am on an empty stomach. i did 2 days half pill and 3rd day full tablet. i workout 2 days with a trainer and 4-5 days on my own a week. in 4 days down 7lbs!!!! wow right. amazing curbing of my appetite but because i'm working out daily still get all cal in daily.  i also drink 3-4 liters of water daily (a must). i plan on only taking for 30 days and working out 40-60 min daily. i'll update with final weight after 30d"""
172,"""i had it inserted in early may. 5 weeks after giving birth to twins by c-section but dilated a full 10cm. insertion wasn't painful at all. bleeding heavily for a week after it being put in, after that i've been spotting ever since. i have horrible cramps that feel like light labor pains. trying to give my body a chance to adjust to it & also looking at other options in case it needs to be removed!"""
173,"""""iffy"" sexual performance for last 6 months.  (53, married 30 years).  tried ""stendra"" with only marginal improvement and was getting a bit panicky! had doubts cialis would be any better. ""10"" is too low of a score.  nice to have the wife complain of some initial discomfort from ""too deep, too soon"", again, and having to back off. it ended well for all concerned (it was a sample from doctor, so not sure on future pricing)."""
174,"""propranolol is honestly one of the best things in the freakin universe. i’ve struggled tremendously with debilitating presentation/public speaking anxiety for the past 13 years of my life.  i’ve been prescribed xanax and lexapro to aide with my anxiety, but xanax made me so foggy to the point of stupidity and lexapro is a daily medication, while my anxiety is strictly situational. just take 30 mg an hour to an hour and a half before your presentation, or speech and you will kill it. reading short paragraphs out loud, or even introducing myself to a large group of people would be straight up impossible for me - but with propranolol, that’s all gone away. seriously. try it. you’ll be that person volunteering to present and read aloud :)"""
175,"""i have lost 18lb but the side effects r:  severe groin pain - severe leg cramps- muscle spasms - blurred vision- chest pains- unable to sleep good- cannot walk right- shoulder bone aches - i thought it was due to age- but its not!  even though i have lost weight its not worth feeling the way i feel!  i'm not going to take this med any longer!  i have taken 2 other weight loss meds that did not work - this med worked but the side effects r horrible!  i would not recommend to anyone!"""
176,"""pros
-completely clear skin after 4 months 
-during treatment my hair got much less greasy and barely needed washing. however this stopped after i finished my course

cons
-dry skin everywhere, although was manageable with a lot of moisturiser and lip balm
-eczema on arms, back of knees, and hands
-severe back pain lasting the whole duration of the course, couldn't be helped by physiotherapy
-(the worst side effect) irritable bowel syndrome. severe pain while passing stools (to the extent of crying), constipation and blood when i wiped. was severely debilitating and made me afraid of going to the loo for 4 months

summary 
- despite the awful side effects, i do not at all regret taking roaccutane even though i only had mild-moderate acne"""
177,"""""i have spondylolisthesis, l4/l5-s1, 2 bulging discs, and stenosis. after my 2nd fusion surgery i was prescribed gabapentin. i found i would forget what i was talking about in the middle of a sentence, and acute disorientation! i remember i had just finished paying for my groceries and the next thing i knew i woke up in the er! i guess i became very disoriented in the store. i was fine after ""waking"" & took a taxi back to the store. i had no clue what had happened! about a week later i was heading to physical therapy, blacked out and hit a tree, totalling my car. i suspected the gabapentin, as that was the only ""new med"" for me. i was told it was making me irritable and combative (still don't remember that). i quit taking it & problem gone!"""
178,"""pros
-completely clear skin after 4 months 
-during treatment my hair got much less greasy and barely needed washing. however this stopped after i finished my course

cons
-dry skin everywhere, although was manageable with a lot of moisturiser and lip balm
-eczema on arms, back of knees, and hands
-severe back pain lasting the whole duration of the course, couldn't be helped by physiotherapy
-(the worst side effect) irritable bowel syndrome. severe pain while passing stools (to the extent of crying), constipation and blood when i wiped. was severely debilitating and made me afraid of going to the loo for 4 months

summary 
- despite the awful side effects, i do not at all regret taking roaccutane even though i only had mild-moderate acne"""
179,"""(continued) so i went to my dr. asked to try the medication. i have to say, just because it works for someone you know doesnt mean it is gonna work for you. you lose wt or you lose money, either way, stay positive for your self and for those that had good experience.  i am on my 3 day. scared at 1st, cause i am taking other med for anxiety, depression and concentration. i have not had an issue with any side effects. i do make sure i drink water. i have to force myself to eat. training myself to put snacks in front of me. so, definitely curbs the appetite.  coming from a woman who is not afraid to eat. i had a problem eating. i would eat till i was miserable and bloated. so far not even close. hope to see good results. working out 40min/day"""
180,"""about 5 years ago my doctor prescribed amerge and i have used it ever since.  i have been a migraine sufferer for the past 15 years and this is the medication that works the best for me.  2 years ago my health insurance decided to no longer cover the medication and i had to try to find another.  it was awful.  i did not realize how much more effective amerge was than the other medicines.  i highly recommend this product."""
181,""". tried compounded synthethetic t4 and t3.(the synthetic drug minus all additives, dyes etc.-prepared by a compounding pharmacy and  the pure drug is put into a clear capsule)

then tried armour--much better

lastly tried wp thyroid. this is a fantastic thing.."""
182,"""it really helps me to get rid of my symptoms of adhd, which i suffer from alot. once i tried this drug i have been better since. i have been taking it for seven years."""
183,"""was working fine for l5 pain then one night after dinner i had bad pain i took 1in a half pills 10mg an hour later was experiencing terrible upper back pain above shoulders real bad stomach muscle pain and it was painful to swallow. """
184,"""39/ no kids. i have always had issues with taking bc, estrogen makes me a moody, bloated beast. i was diagnosed with endo 5 years ago. got iud w/ hormone, worked for 2 years and i've been bleeding now off and on for months.   

was just in to see my ob last week and he suggested  nora-be.  at first i was hesitant but he explained that the progesterone dosage is the same as iud and a fraction of the hormone compared to the progesterone pills. i've taken it for a week here and there to shrink cysts. so i said ok. 
took my first pill last night. today i was more calm and patient, no appetite at all. will post update in a few days."""
185,"""astelin is the only prescription antihistamine nasal spray approved to treat symptoms caused by both seasonal allergens and environmental irritants.


astelin provides relief from bothersome nasal symptoms such as congestion, itchy/runny nose, sneezing and postnasal drip due to seasonal allergens or environmental irritants.

astelin is steroid-free and does not contain pseudoephedrine."""
186,"""pros
-completely clear skin after 4 months 
-during treatment my hair got much less greasy and barely needed washing. however this stopped after i finished my course

cons
-dry skin everywhere, although was manageable with a lot of moisturiser and lip balm
-eczema on arms, back of knees, and hands
-severe back pain lasting the whole duration of the course, couldn't be helped by physiotherapy
-(the worst side effect) irritable bowel syndrome. severe pain while passing stools (to the extent of crying), constipation and blood when i wiped. was severely debilitating and made me afraid of going to the loo for 4 months

summary 
- despite the awful side effects, i do not at all regret taking roaccutane even though i only had mild-moderate acne"""
187,"""i am 61 years old, diagnosed high blood pressure when 18 years old.  i was 6'1""  when 18 and weighed 175, 29"" pant size with 44 coat size.  have taken drugs for over 40 years trying to keep blood pressure in the 150 over 100 range. (vasotec, lotril, and others).  started  azor (lowest dose available), 2 years ago and have never had a  reading over 120/80!  no side effects for me and i feel great."""
188,"""i was going through absolute hell. dark days was effecting my family life and work. the man inside of me said keep going, but i couldn't.

i pulled into the doctors office contemplating going up stairs to the office (anxiety). i felt weak asking for male advise from my male doc?

i told the doctor about my previous experiences on ssri's and how they made my mood worse. he prescribed me 50mg of zoloft and after 5-6 weeks, i was me again. it doesn't feel drug induced, it just kicks your bad thoughts completely. no ill side effects. but thats my story!"""
189,"""i suffered severe side effects & seemingly withdrawal symptoms after only 9 days of use for pneumonia. 
main symptoms experienced:
hypertension 
headache 
nausea
abdominal discomfort 
rapid pounding heartbeat/pulse 
lethargy
mental confusion - trouble thinking, foggy brain 
bad taste in mouth 
general feeling of unwell - felt like i was being poisoned. 
day 1: 2x 25mg 
day 2-5: 1x25mg
day 6-9: 1/2 25mg"""
190,"""i had surgery to repair a torn labrum in my left hip as well as severe damage to my cartilage. it was an incredibly painful surgery and was prescribed the 10/325 hydrocodone (norco) for my pain. one tablet every 4-6 hours the first 2 weeks post op helped incredibly with the pain. i was given another prescription for the same thing for my pt (lasting 4-6 months post op). i no longer took them regularly, only before/after pt which could be incredibly painful. 1-2 tablets did the job, providing incredible relief from pretty severe pain. only negative side effect i experienced was itching, particularly when i would take 2 tablets (20 mg). however, 2 tablets provided wonderful pain relief and also relaxed me mentally. thumbs up."""
191,"""i am 61 years old, diagnosed high blood pressure when 18 years old.  i was 6'1""  when 18 and weighed 175, 29"" pant size with 44 coat size.  have taken drugs for over 40 years trying to keep blood pressure in the 150 over 100 range. (vasotec, lotril, and others).  started  azor (lowest dose available), 2 years ago and have never had a  reading over 120/80!  no side effects for me and i feel great."""
192,"""the nexplanon is plain awful i'm on my third year a month from getting it taken out (i've been begging my doc to take it out for a year now and just got ok'ed) the first year of it my period was nuts either no period or month long period slight weight gain but nothing terrible second year mood swings like crazy weight gain and acne. third year has been the worst i have no acne constant mood swing severe depression despite my life going well can't stop gaining weight (130lb before 185lb now) bloating cramps are so bad i've had to miss work i have acne on my back and face and weird hair growth. i'm growing inch long black facial hairs on my chin and i'm a blonde who used to have like no body hair. this birth control has made me suicidal at time."""
193,"""i gave this drug a 4 because of what it did to me, and what they didn't mention at the time, also because what it did to a friend of mines daughter, as far as a seizure drug and mood stabilizer a perfect drug.  controls most seizure in people. but i was on this drug for over 10 years . no one said it could affect my bone density at the time.  at 29 i got diagnosed with osteoporosis. i am not happy. i have multiple back issues now and spinal fractures. they did not heal correctly and i am in constant pain. i have to be on at least 3000mg vitamin d3 for life.  my friend is older and her daughter was born with brain abnormalities"""
194,"""the good:

- improved motivation
- more stable moods, fewer deep lows
- improved self-confidence 
- decreased anxiety

the bad:

- (during the first few weeks) insomnia
- (during the first few weeks) drowsiness
- (transient) vivid bad dreams
- difficulty reaching orgasm
- forgetfulness
- emotional blunting"""
195,"""i took this for several years. i would occasionally switch to something else, but i always came back to it. while effective, it caused me to gain a lot of weight."""
196,"""i have been given vicodin for severe migraines, back pain, wisdom tooth removal and kidney infection with kidney stones. it never fails to make me feel nauseous, give me headaches, and make it incredibly difficult to function at times  but it did take away my pain. after my last er visit i asked for something other than vicodin, they gave me percocet and it works well with minimal side effects."""
197,""". tried compounded synthethetic t4 and t3.(the synthetic drug minus all additives, dyes etc.-prepared by a compounding pharmacy and  the pure drug is put into a clear capsule)

then tried armour--much better

lastly tried wp thyroid. this is a fantastic thing.."""
198,"""i was literally terrified to insert this on day one because of reviews saying that the pain was excruciating. just wondering if you guys had a severe infection and irritation down there or something when you used it cause i felt 0 pain or discomfort at all. and i had really worked myself up before inserting it cause i was so scared about the possible pain. monistat 3 worked wonderfully for me. hope this helped."""
199,"""""iffy"" sexual performance for last 6 months.  (53, married 30 years).  tried ""stendra"" with only marginal improvement and was getting a bit panicky! had doubts cialis would be any better. ""10"" is too low of a score.  nice to have the wife complain of some initial discomfort from ""too deep, too soon"", again, and having to back off. it ended well for all concerned (it was a sample from doctor, so not sure on future pricing)."""
